id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3nfM0SzLDappHV27JG7uCO,https://open.spotify.com/track/3nfM0SzLDappHV27JG7uCO,O Descobridor Dos Sete Mares,Tim Maia,Soul Music Brasil,False,0,262946,3,0,4,0.627,0.816,0.0893,0.0296,0.00116,0.191,0.962,137.212
1UehyRYWHQxfj52XJbswIv,https://open.spotify.com/track/1UehyRYWHQxfj52XJbswIv,Amado,Vanessa Da Mata,Sim,False,46,249973,0,1,4,0.694,0.257,0.0365,0.658,0.00127,0.0703,0.243,148.036
6IvKz4Ax11LsLA0X0bPkqD,https://open.spotify.com/track/6IvKz4Ax11LsLA0X0bPkqD,"Ai, Ai, Ai...",Vanessa Da Mata,Sim,False,43,252640,0,1,4,0.643,0.673,0.0281,0.00227,0.000133,0.109,0.916,130.108
4y6P6eic8hhTcFqtaV5ftn,https://open.spotify.com/track/4y6P6eic8hhTcFqtaV5ftn,Carta Ao Tom 74,Vinícius de Moraes,20 Grandes Sucessos De Toquinho & Vinicius,False,0,160600,4,0,4,0.621,0.369,0.245,0.675,1.17e-06,0.137,0.517,143.1
1BIDHSkkst8nckyBaHVP6A,https://open.spotify.com/track/1BIDHSkkst8nckyBaHVP6A,Águas De Março,Elis Regina,Elis & Tom,False,5,212520,3,1,4,0.637,0.551,0.116,0.844,0,0.111,0.468,143.104
35LwnXpLMRb2kShTHmtPJ5,https://open.spotify.com/track/35LwnXpLMRb2kShTHmtPJ5,Lost On You,Lewis Capaldi,Lost On You,False,7,195579,10,1,4,0.555,0.263,0.066,0.906,0,0.101,0.421,124.235
4SNtyKNyYJ8ERT7YLlnFBr,https://open.spotify.com/track/4SNtyKNyYJ8ERT7YLlnFBr,So Young,Portugal. The Man,Woodstock,False,62,246480,4,0,4,0.671,0.445,0.0291,0.348,5.93e-05,0.155,0.811,75.996
7FESgYLcOufHqKlwrvJN60,https://open.spotify.com/track/7FESgYLcOufHqKlwrvJN60,Feel It Still,Portugal. The Man,Feel It Still,False,64,163250,1,0,4,0.78,0.798,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969
64zO6LBlzR8MxvHwPhgY05,https://open.spotify.com/track/64zO6LBlzR8MxvHwPhgY05,Crazy Bird,Wild Child,The Runaround,False,1,238390,3,1,4,0.782,0.534,0.0353,0.261,0.000176,0.37,0.722,93.473
3ZIHyyOifkIDqy9GygDTcZ,https://open.spotify.com/track/3ZIHyyOifkIDqy9GygDTcZ,I Don't Wanna Dance,Eddie Grant,The Best Music from Jamaica,False,41,200946,11,1,4,0.954,0.435,0.0916,0.182,2.95e-05,0.0897,0.9,123.602
7hCNBVRhHzcsRAv0TQnOzq,https://open.spotify.com/track/7hCNBVRhHzcsRAv0TQnOzq,Runaway Baby,Bruno Mars,Doo-Wops & Hooligans,False,63,147746,11,1,4,0.656,0.767,0.0396,0.25,0,0.114,0.871,163.834
6JnxYJwKACudLMiaYMT0qA,https://open.spotify.com/track/6JnxYJwKACudLMiaYMT0qA,Minha Felicidade,Roberta Campos,Minha Felicidade - Single,False,46,229480,9,0,4,0.611,0.475,0.0296,0.448,1.47e-06,0.177,0.439,123.92
37Z5WN0siOyxgTl5h1dk8J,https://open.spotify.com/track/37Z5WN0siOyxgTl5h1dk8J,Maresia - Ao Vivo,Adriana Calcanhotto,Público,False,45,251173,8,1,4,0.813,0.736,0.0322,0.204,3.87e-06,0.0997,0.895,132.0
3DABg6RvNc3p0gkS7PiEO9,https://open.spotify.com/track/3DABg6RvNc3p0gkS7PiEO9,Let's Get Retarded,Black Eyed Peas,Elephunk (International Version),False,1,215920,7,1,4,0.913,0.682,0.234,0.0887,0,0.14,0.633,105.025
0uqPG793dkDDN7sCUJJIVC,https://open.spotify.com/track/0uqPG793dkDDN7sCUJJIVC,Where Is The Love?,Black Eyed Peas,Elephunk (International Version),False,19,272533,5,1,4,0.835,0.687,0.184,0.101,0,0.132,0.828,94.059
0GZKxI1iCyGHLxHmCNUIgr,https://open.spotify.com/track/0GZKxI1iCyGHLxHmCNUIgr,Will I See You,Poo Bear,Will I See You,False,41,211280,8,1,4,0.726,0.479,0.0398,0.799,0,0.176,0.545,130.11
4ZV2elnta7aK0FV8qbUc5u,https://open.spotify.com/track/4ZV2elnta7aK0FV8qbUc5u,A Beautiful Life,Tim McMorris,A Beautiful Life,False,37,168833,10,0,4,0.717,0.779,0.0361,0.0339,0,0.177,0.968,99.996
2iRg3z1lrFSQxXU4G7Unn3,https://open.spotify.com/track/2iRg3z1lrFSQxXU4G7Unn3,Overwhelmed,Tim McMorris,I'd Choose You Again,False,40,237090,11,1,4,0.633,0.373,0.0294,0.365,0,0.102,0.183,109.985
2elvI4qaFmDMIPZubtzJJV,https://open.spotify.com/track/2elvI4qaFmDMIPZubtzJJV,On Top of the World,Tim McMorris,On Top of the World,False,42,217000,11,0,4,0.659,0.692,0.0386,0.00425,0,0.0744,0.704,94.996
0RPFZTmAqKUMGeHKoTQrah,https://open.spotify.com/track/0RPFZTmAqKUMGeHKoTQrah,Podres Poderes,Caetano Veloso,The Best Of Caetano Veloso - Sem Lenco Sem Documento,False,0,259839,5,1,4,0.728,0.51,0.186,0.424,1.58e-05,0.102,0.754,156.486
0YqfNjW2GqlU2u1niwM986,https://open.spotify.com/track/0YqfNjW2GqlU2u1niwM986,Special,SIX60,SIX60,False,5,202590,1,1,4,0.81,0.659,0.0344,0.00858,6.44e-06,0.0774,0.704,94.981
3J8HPAt0GI9I18Mx0235Do,https://open.spotify.com/track/3J8HPAt0GI9I18Mx0235Do,Empty Bottles,Yelawolf,Love Story,True,0,257333,4,0,4,0.693,0.851,0.0537,0.057,0.00665,0.292,0.384,87.463
6sbp4i2FtlsQSVMepZPG9c,https://open.spotify.com/track/6sbp4i2FtlsQSVMepZPG9c,Jerk It Out,Caesars,Love For The Streets,False,48,195666,8,0,4,0.58,0.981,0.06,0.0171,1.07e-05,0.386,0.861,134.007
2PC9Tl8SWVO2yhDDtJcrAi,https://open.spotify.com/track/2PC9Tl8SWVO2yhDDtJcrAi,Setting Fires,The Chainsmokers,Collage EP,False,55,247426,8,0,4,0.627,0.717,0.0376,0.017,0,0.261,0.561,105.05
0anBkYin9hH9nTpoEDuEEA,https://open.spotify.com/track/0anBkYin9hH9nTpoEDuEEA,Hypnotic,Zella Day,Kicker,False,1,176786,6,0,4,0.635,0.713,0.0385,0.0983,0,0.301,0.385,80.937
