url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/5OHZ5in2h3NLndNHCnJzEX,Cheek To Cheek - 2006 Digital Remaster/24 Bit Mastering,Frank Sinatra,False,33,186666,0.581,0.34,0.0584,0.605,0,0.145,0.876,83.054
https://open.spotify.com/track/3wwXUFIYX044Tqiy3AFpLO,Something Stupid (feat. Reese Witherspoon),Michael Bublé,False,60,177626,0.573,0.719,0.026,0.572,0.000555,0.332,0.548,99.349
https://open.spotify.com/track/2SbsvihBJmgNKZ4qkXFWrp,More Than Words,Extreme,False,74,334040,0.623,0.127,0.0306,0.452,0,0.114,0.237,91.625
https://open.spotify.com/track/0WhSUlLPKdXOEU4JPqktuo,Conselho do Bom Senso - Ao Vivo,Tuyo,False,20,278126,0.662,0.197,0.0528,0.814,2.59e-05,0.078,0.421,138.11
https://open.spotify.com/track/1At06Lay1AIzDZN9YSacXC,A Song For Two,Hiroshi Fujiwara,False,10,351330,0.513,0.619,0.0348,0.239,0,0.0963,0.802,84.889
https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk,Dark Red,Steve Lacy,False,69,173104,0.603,0.783,0.062,0.449,7.96e-06,0.119,0.775,172.041
https://open.spotify.com/track/2VAlwOewe5c40VHyqozF1V,"Steady, As She Goes",The Raconteurs,False,11,215266,0.534,0.605,0.113,0.00865,0.00826,0.0781,0.56,123.003
https://open.spotify.com/track/4NTdYJx7s9KN0Xq8JEqbff,I Shall Be Released,Phillip Long,False,14,374977,0.563,0.383,0.0307,0.0951,0.000167,0.0872,0.128,150.156
https://open.spotify.com/track/1M321puDN1WBd5NF0ogOKW,Habit,Still Woozy,True,11,153857,0.766,0.402,0.107,0.27,0.0007,0.106,0.466,125.107
https://open.spotify.com/track/5qgXYwcKp3HCThS6o2YmCb,Devil Town,Cavetown,False,52,270037,0.624,0.467,0.0257,0.0777,0,0.21,0.581,79.985
https://open.spotify.com/track/3fKOMqJToZH96WgR8zzN7h,Bae Caught Me Vapin',Fantasy Guys,False,44,214248,0.785,0.478,0.0456,0.692,0.00122,0.0626,0.633,140.009
https://open.spotify.com/track/3Dtr5e9OQGML2f48A6mw9P,Running,Nicotine's Famous Honey,True,1,247769,0.454,0.393,0.0417,0.825,0.275,0.106,0.181,110.072
https://open.spotify.com/track/3uA8SjMyDtwtt0jLPMQbVD,D (Half Moon),DEAN,False,62,229359,0.512,0.765,0.136,0.246,0,0.0573,0.519,169.709
https://open.spotify.com/track/6z1kLsntE7FuzKZHZWrXYN,instagram,DEAN,False,67,255728,0.463,0.566,0.145,0.196,0,0.284,0.219,93.921
https://open.spotify.com/track/2IgbYlOlFpiSFYnsqB39lM,Jasmine,DPR LIVE,False,61,201510,0.597,0.486,0.0986,0.331,0,0.14,0.397,137.68
https://open.spotify.com/track/6wcRv0UBvEH9NCIA3IVyQs,love,DEAN,True,55,258226,0.582,0.67,0.0483,0.00125,0.000669,0.105,0.37,109.993
https://open.spotify.com/track/1dN4Z7wZTQXLEl33RkMO3a,Text Me,DPR LIVE,False,59,177342,0.846,0.592,0.28,0.146,0,0.258,0.757,134.024
https://open.spotify.com/track/79gYyZ45D8JlRc3kXY03RP,Lost 2,"Car, the Garden",False,21,245453,0.651,0.391,0.0346,0.338,1.94e-05,0.103,0.214,76.007
https://open.spotify.com/track/3rQmTAyMDDZ73rMyhLkn98,Dance,offonoff,False,52,219034,0.805,0.393,0.0339,0.717,6.56e-06,0.105,0.407,89.03
https://open.spotify.com/track/0PkpRtJqrwuXhbdtJuQm7E,Photograph,offonoff,False,54,239002,0.597,0.458,0.0609,0.809,0,0.105,0.184,90.15
https://open.spotify.com/track/14p5EKgbPx4U3P1j5JNHeh,"Cigarette (Feat. Tablo, MISO)",offonoff,False,58,241765,0.776,0.392,0.207,0.271,2.21e-06,0.14,0.438,87.98
https://open.spotify.com/track/1cBNzkPsAdI7XJaKIsjKUk,"Girl, Interrupted",2xxx!,True,44,180972,0.513,0.379,0.171,0.259,3.05e-05,0.0711,0.0619,85.645
