url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem,True,95,210800,0.808,0.745,0.342,0.145,0,0.292,0.829,165.995
https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR,Give No Fxk,Migos,True,80,224243,0.904,0.627,0.222,0.0303,5.68e-06,0.0923,0.236,145.976
https://open.spotify.com/track/0dIz1I7IwX5ardG47AHxCZ,Stain (feat. DaBaby),A Boogie Wit da Hoodie,True,75,175128,0.816,0.754,0.389,0.0117,0,0.129,0.604,159.073
https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1,Shake The Room (feat. Quavo),Pop Smoke,True,77,165640,0.733,0.684,0.177,0.142,0,0.179,0.437,142.04
https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5,Yikes,Nicki Minaj,True,80,156881,0.911,0.637,0.447,0.0409,3.68e-05,0.238,0.66,149.996
https://open.spotify.com/track/1K2xWMZP8mgMXAR5SpcLQu,Heart On Ice - Remix,Rod Wave,True,72,195189,0.762,0.372,0.174,0.165,0,0.139,0.315,79.037
https://open.spotify.com/track/0eHFPf7gom9ztF7Jc6FP6C,What I Please (feat. Denzel Curry),Smokepurpp,True,72,140590,0.803,0.709,0.327,0.0352,0,0.122,0.54,139.877
https://open.spotify.com/track/2s6nFAzZLRAbKS9NKV7Mos,Givenchy Kickin (feat. Lil Baby & Lil Tjay),Calboy,True,63,228186,0.798,0.629,0.07,0.077,0,0.136,0.261,142.079
https://open.spotify.com/track/53D5TZhptGDDirr0WJFsD2,Weekend (feat. Moneybagg Yo),Yo Gotti,True,71,188255,0.972,0.55,0.0614,0.0493,0,0.111,0.61,111.03
https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda,Lottery (Renegade),K CAMP,True,81,170946,0.915,0.556,0.216,0.0145,0.000179,0.0733,0.67,148.964
https://open.spotify.com/track/3a0Wh4w8gkib4KRfWGfG0P,Knocked Off,YoungBoy Never Broke Again,True,72,127983,0.752,0.653,0.293,0.0647,0,0.125,0.569,165.046
https://open.spotify.com/track/003VDDA7J3Xb2ZFlNx7nIZ,YELL OH,Trippie Redd,True,75,236778,0.842,0.578,0.138,0.00419,0,0.228,0.19,74.496
https://open.spotify.com/track/4DkZDzcHicZBXCEdA19oWs,Big Drip,Fivio Foreign,True,73,168306,0.814,0.661,0.356,0.186,0,0.163,0.474,139.956
https://open.spotify.com/track/7im3jaJBEYivH5JKXMh1Yy,Value,A$AP Ferg,True,73,167157,0.766,0.901,0.128,0.104,7.15e-06,0.0924,0.215,129.993
https://open.spotify.com/track/06scTb0zbkxYNgpAB3J9fN,B.I.T.C.H.,Megan Thee Stallion,True,77,183142,0.744,0.733,0.306,0.0839,0,0.125,0.538,174.015
https://open.spotify.com/track/40FUPlp2KJvdHY5ABnK100,GUESS WHAT (feat. Rick Ross),Russ,True,75,206013,0.738,0.785,0.272,0.0711,1.59e-05,0.117,0.357,92.008
https://open.spotify.com/track/0GMMNIvExKYgl9eJV0jpYK,Fine By Time,YoungBoy Never Broke Again,True,68,175339,0.506,0.787,0.161,0.254,0,0.112,0.333,99.956
